Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,64,5.51,.685,162,1458,1030,12756.0,5726,4252,1374,100,113,.983,-20,-2,-37,0,-1
Atlanta Braves,55,4.07,.708,161,1449,1126,12696.0,5786,4232,1483,71,104,.988,58,6,50,1,5
Baltimore Orioles,62,5.90,.683,162,1458,1093,12618.0,5639,4206,1359,74,101,.987,-44,-4,-30,-1,-12
Boston Red Sox,56,4.62,.659,162,1458,1104,12771.0,5786,4257,1421,108,143,.981,-68,-6,4,-1,-1
Chicago Cubs,68,5.18,.691,162,1458,1039,12714.0,5879,4238,1554,87,149,.985,-24,-2,29,0,5
Chicago White Sox,47,3.93,.694,162,1458,1117,12630.0,5517,4210,1210,97,112,.982,-48,-5,-40,-5,-14
Cincinnati Reds,55,4.69,.688,162,1458,1052,12909.0,5816,4303,1422,91,125,.984,-26,-2,-32,0,7
Cleveland Indians,48,4.49,.703,162,1458,1149,12672.0,5710,4224,1400,86,138,.985,32,3,2,0,-1
Colorado Rockies,45,4.94,.686,161,1449,1094,12573.0,5780,4191,1516,73,140,.987,20,2,61,4,1
Detroit Tigers,49,4.67,.698,162,1458,1145,12777.0,5834,4259,1492,83,136,.986,-22,-2,-35,-1,-10
Houston Astros,51,4.06,.713,162,1458,1153,13005.0,5836,4335,1432,69,126,.988,53,5,76,0,0
Kansas City Royals,47,4.86,.685,162,1458,1114,12756.0,5758,4252,1422,84,152,.985,21,2,23,0,6
Los Angeles Angels,64,4.96,.680,162,1458,1108,12795.0,5772,4265,1419,88,131,.985,-30,-3,-29,-1,-2
Los Angeles Dodgers,61,3.46,.723,162,1458,1021,13068.0,5748,4356,1303,89,94,.985,34,3,36,0,-2
Miami Marlins,61,4.33,.689,162,1458,1107,12735.0,5810,4245,1443,122,146,.979,4,0,55,1,-8
Milwaukee Brewers,59,3.85,.708,162,1458,1041,12923.0,5732,4308,1330,94,102,.984,36,3,61,-1,1
Minnesota Twins,56,5.15,.692,162,1458,1066,12774.0,5785,4258,1420,107,139,.982,-16,-2,32,0,8
New York Mets,63,4.12,.697,162,1458,1069,12400.2,5543,4138,1311,94,121,.983,16,2,48,0,0
New York Yankees,58,4.13,.698,162,1458,1044,12914.2,5721,4306,1317,98,115,.983,-37,-3,-41,-1,-8
Oakland Athletics,50,4.24,.698,162,1458,1101,12897.0,5691,4299,1320,72,116,.987,-9,-1,-10,0,-7
Philadelphia Phillies,55,4.60,.687,162,1458,1053,12768.0,5789,4256,1439,94,142,.984,-52,-5,-54,-1,-2
Pittsburgh Pirates,64,5.14,.687,162,1458,1129,12567.0,5637,4189,1378,70,139,.988,-26,-3,-9,1,9
San Diego Padres,54,4.37,.698,162,1458,1119,12870.0,5771,4290,1399,82,139,.986,-12,-1,16,0,7
Seattle Mariners,62,4.62,.699,162,1458,1166,12963.0,5784,4321,1384,79,135,.986,-5,0,-1,0,-1
San Francisco Giants,54,3.67,.707,162,1458,913,13095.0,5916,4365,1471,80,122,.986,40,4,32,0,-1
St. Louis Cardinals,51,4.15,.714,162,1458,1147,12753.0,5848,4251,1513,84,137,.986,47,4,81,4,4
Tampa Bay Rays,61,4.02,.706,162,1458,1038,13101.0,5805,4367,1358,80,130,.986,35,3,72,2,-5
Texas Rangers,54,5.03,.698,162,1458,1199,12819.0,5818,4273,1462,83,146,.986,56,5,86,0,-1
Toronto Blue Jays,60,4.09,.700,162,1458,1047,12639.1,5676,4216,1370,90,122,.984,5,1,22,1,1
Washington Nationals,59,5.06,.694,162,1458,1168,12549.0,5641,4184,1361,96,116,.983,-32,-3,12,0,14
League Average,50,4.53,.695,162,1457,1092,12784,5752,4262,1403,88,128,.985,-0,0,16,0,-0
,1501,4.53,.695,4858,43722,32752,383508.2,172554,127846,42083,2625,3831,.985,-14,0,480,0,-2
